rank,distance_metric,placement_mode,placement_semantics,candidate_source,time_bucket,time_seconds,coordinates,lat,lon,nearest_building_dist_m,newly_covered_buildings,newly_covered_people_est
1,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.755718,34.993822",31.755717706417595,34.9938224922174,50.35,6,42
2,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.749218,34.987734",31.74921782441292,34.9877339544908,34.11,7,49
3,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.749068,34.983868",31.749067960306814,34.983868043041205,43.9,11,77
