rank,distance_metric,placement_mode,placement_semantics,candidate_source,time_bucket,time_seconds,coordinates,lat,lon,nearest_building_dist_m,newly_covered_buildings,newly_covered_people_est
1,graph,cluster,area_center,cluster_candidates,5min,300,"31.744305,34.978252",31.744304899530817,34.978252044986206,22.01,18,126
2,graph,cluster,area_center,cluster_candidates,5min,300,"31.750329,34.988499",31.750328934760564,34.988499165719006,23.28,21,147
3,graph,cluster,area_center,cluster_candidates,5min,300,"31.747563,34.990251",31.74756317529592,34.99025097585584,37.85,15,105
4,graph,cluster,area_center,cluster_candidates,5min,300,"31.748316,34.986845",31.74831552165242,34.98684468687669,9.54,20,140
5,graph,cluster,area_center,cluster_candidates,5min,300,"31.742896,34.976937",31.7428963561024,34.97693696860393,42.58,11,77
6,graph,cluster,area_center,cluster_candidates,5min,300,"31.739913,34.978058",31.739912851782414,34.97805755959029,38.13,22,154
7,graph,cluster,area_center,cluster_candidates,5min,300,"31.741925,34.988876",31.741925394578704,34.98887637770449,18.49,16,112
8,graph,cluster,area_center,cluster_candidates,5min,300,"31.752475,34.982043",31.752474907278824,34.982043193741006,24.29,24,168
9,graph,cluster,area_center,cluster_candidates,5min,300,"31.751275,34.995271",31.751274894107237,34.99527057267544,46.29,47,329
10,graph,cluster,area_center,cluster_candidates,5min,300,"31.753197,34.993083",31.753196703987168,34.993082861182145,16.0,17,119
11,graph,cluster,area_center,cluster_candidates,5min,300,"31.749792,34.992461",31.749792270708188,34.992461061963866,20.45,21,147
12,graph,cluster,area_center,cluster_candidates,5min,300,"31.751397,34.986066",31.751397195058075,34.986066275906175,16.16,18,126
13,graph,cluster,area_center,cluster_candidates,5min,300,"31.743952,34.979777",31.74395151993903,34.97977728705015,7.4,15,105
14,graph,cluster,area_center,cluster_candidates,5min,300,"31.743385,34.975308",31.74338510977033,34.9753075418284,23.81,13,91
15,graph,cluster,area_center,cluster_candidates,5min,300,"31.747647,34.983346",31.747647153410803,34.983346387063925,14.46,13,91
16,graph,cluster,area_center,cluster_candidates,5min,300,"31.738627,34.993008",31.738626956514878,34.99300820807969,20.23,13,91
17,graph,cluster,area_center,cluster_candidates,5min,300,"31.749880,34.982972",31.749879650151694,34.98297151978935,10.97,15,105
18,graph,cluster,area_center,cluster_candidates,5min,300,"31.748441,34.995904",31.748440705491802,34.995903927472774,55.55,24,168
