rank,candidate_source,time_bucket,time_seconds,coordinates,lat,lon,nearest_building_dist_m,newly_covered_buildings,newly_covered_people_est
1,buildings,2min,120,"31.743360,34.978021",31.74336048959637,34.97802091187238,0.0,52,364
2,buildings,2min,120,"31.741562,34.978804",31.741561763378435,34.978804045160956,0.0,44,308
3,buildings,2min,120,"31.743609,34.975437",31.743608803722616,34.975437358730595,0.0,38,266
4,buildings,2min,120,"31.747711,34.989535",31.74771141342427,34.989535147860025,0.0,31,217
5,buildings,2min,120,"31.751649,34.994127",31.751649427919986,34.994127384886454,0.0,29,203
6,buildings,2min,120,"31.750990,34.989012",31.75098955617061,34.98901183331998,0.0,20,140
7,buildings,2min,120,"31.738565,34.980942",31.738564711389838,34.980941768831,0.0,20,140
8,buildings,2min,120,"31.738803,34.978934",31.738802510270954,34.978933999355945,0.0,20,140
9,buildings,2min,120,"31.740406,34.992416",31.74040575866577,34.99241607730025,0.0,19,133
10,buildings,2min,120,"31.752041,34.981909",31.752040916196208,34.98190877213388,0.0,18,126
11,buildings,2min,120,"31.745203,34.977485",31.74520342333011,34.977484632471295,0.0,18,126
12,buildings,2min,120,"31.743583,34.974990",31.743582930047648,34.97498961177864,0.0,15,105
13,buildings,2min,120,"31.741649,34.988294",31.741649178164263,34.988294257240554,0.0,15,105
14,buildings,2min,120,"31.736231,34.982716",31.736231128234277,34.982716188876424,0.0,13,91
15,buildings,2min,120,"31.744533,34.992566",31.7445332754142,34.99256637655705,0.0,13,91
16,network_nodes,2min,120,"31.710001,35.001603",31.71000080068722,35.00160269947285,30.25,13,91
17,buildings,2min,120,"31.735793,34.998577",31.735793051819083,34.998577051069056,0.0,12,84
18,buildings,2min,120,"31.752702,34.996031",31.752701838966054,34.99603122222523,0.0,12,84
19,buildings,2min,120,"31.751580,34.992444",31.751579661699715,34.99244422163854,0.0,11,77
20,buildings,2min,120,"31.749035,34.996585",31.749035274821736,34.99658463464539,0.0,11,77
21,buildings,2min,120,"31.713966,34.981696",31.713966338131517,34.98169592966992,0.0,11,77
22,buildings,2min,120,"31.747692,34.985350",31.747692308666796,34.9853500997152,0.0,10,70
23,buildings,2min,120,"31.750906,34.996178",31.750906157791,34.99617780489853,0.0,10,70
24,buildings,2min,120,"31.738876,34.975741",31.73887628451647,34.97574055866777,0.0,10,70
25,buildings,2min,120,"31.749971,34.992513",31.74997114126904,34.99251347056792,0.0,10,70
26,buildings,2min,120,"31.747411,34.995002",31.747410852560066,34.995001744883645,0.0,10,70
27,buildings,2min,120,"31.739185,34.993486",31.739185165442027,34.99348556966351,0.0,10,70
28,buildings,2min,120,"31.746737,34.991338",31.74673664778588,34.991337691465525,0.0,9,63
29,buildings,2min,120,"31.751977,34.993410",31.751977047414687,34.993410102888554,0.0,9,63
30,buildings,2min,120,"31.753370,34.990895",31.75337021295637,34.9908951582448,0.0,9,63
31,buildings,2min,120,"31.709807,34.994319",31.70980712671077,34.99431876337795,0.0,9,63
32,buildings,2min,120,"31.743186,34.984231",31.743185781074445,34.984230874472516,0.0,9,63
33,network_nodes,2min,120,"31.713556,34.989002",31.713556300686104,34.989002499473514,54.8,9,63
34,buildings,2min,120,"31.748049,34.979813",31.74804898329626,34.97981274478904,0.0,8,56
35,buildings,2min,120,"31.750011,34.995103",31.75001131950823,34.99510261118033,0.0,8,56
36,buildings,2min,120,"31.739130,34.985932",31.73912985987016,34.98593162011447,0.0,8,56
37,buildings,2min,120,"31.739701,34.995810",31.73970114024534,34.99581004669916,0.0,8,56
38,network_nodes,2min,120,"31.741216,34.995388",31.74121580068361,34.995388199475315,42.92,8,56
39,buildings,2min,120,"31.716670,34.998817",31.716670470891902,34.998816737229134,0.0,7,49
40,buildings,2min,120,"31.748305,34.988716",31.748304811383615,34.9887159329762,0.0,7,49
41,buildings,2min,120,"31.755787,34.993875",31.75578676760494,34.99387535537151,0.0,7,49
42,buildings,2min,120,"31.747644,34.984592",31.747644481301542,34.984591808975175,0.0,7,49
43,buildings,2min,120,"31.736007,34.977513",31.73600724278252,34.97751263413962,0.0,7,49
44,buildings,2min,120,"31.737037,34.994315",31.737037144606177,34.994315148860935,0.0,7,49
45,buildings,2min,120,"31.743003,34.976429",31.743002532923036,34.97642870676015,0.0,7,49
46,buildings,2min,120,"31.738540,34.985250",31.738539550614405,34.98525045542428,0.0,7,49
47,buildings,2min,120,"31.753679,34.993262",31.75367860561212,34.993262384979516,0.0,7,49
