rank,candidate_source,time_bucket,time_seconds,coordinates,lat,lon,nearest_building_dist_m,newly_covered_buildings,newly_covered_people_est
76,buildings,3min,180,"31.757747,34.999451",31.757747364782194,34.99945141993591,0.0,2,14
77,buildings,3min,180,"31.761146,34.995240",31.76114552105576,34.99524008493654,0.0,2,14
78,buildings,3min,180,"31.735248,34.992476",31.73524832299723,34.99247589359631,0.0,2,14
79,buildings,3min,180,"31.749434,34.994156",31.74943439569229,34.99415565618379,0.0,2,14
80,buildings,3min,180,"31.722567,34.990657",31.722567134836417,34.99065681057234,0.0,2,14
81,buildings,3min,180,"31.749550,34.979641",31.749550473837342,34.9796411929955,0.0,2,14
82,buildings,3min,180,"31.743433,34.997206",31.74343266792885,34.99720627992131,0.0,2,14
83,buildings,3min,180,"31.742356,34.993738",31.742356415437552,34.99373764775927,0.0,2,14
84,buildings,3min,180,"31.739622,34.986892",31.73962185385348,34.98689219151343,0.0,2,14
85,buildings,3min,180,"31.716312,34.987775",31.716312217013567,34.987775392488615,0.0,2,14
86,buildings,3min,180,"31.717714,34.998814",31.71771373521085,34.99881363768304,0.0,2,14
87,buildings,3min,180,"31.715005,34.996945",31.715005197816456,34.996945483316466,0.0,2,14
88,buildings,3min,180,"31.714311,35.000165",31.714310686469613,35.000164528616686,0.0,2,14
89,buildings,3min,180,"31.746843,34.983208",31.74684268487631,34.98320822524215,0.0,2,14
90,buildings,3min,180,"31.731284,34.991666",31.731283591040423,34.99166564072458,0.0,2,14
91,network_nodes,3min,180,"31.709090,34.991658",31.709090200686724,34.99165829947311,107.66,2,14
92,network_nodes,3min,180,"31.707411,35.000008",31.707411400687416,35.000007899472706,94.97,2,14
93,buildings,3min,180,"31.756336,35.007595",31.756335816459583,35.00759451758836,0.0,1,7
94,buildings,3min,180,"31.752690,34.990666",31.752690446048035,34.990666300159845,0.0,1,7
95,buildings,3min,180,"31.747644,34.984592",31.747644481301542,34.984591808975175,0.0,1,7
96,buildings,3min,180,"31.733035,34.954304",31.73303464433595,34.954304130279375,0.0,1,7
97,buildings,3min,180,"31.742126,34.994256",31.742126221033335,34.994255932745496,0.0,1,7
98,buildings,3min,180,"31.713819,34.991951",31.713818669293047,34.99195108399097,0.0,1,7
99,buildings,3min,180,"31.739302,34.989062",31.739301849958807,34.98906163773728,0.0,1,7
100,buildings,3min,180,"31.747090,34.996960",31.7470895003499,34.99696047056883,0.0,1,7
101,buildings,3min,180,"31.761454,34.994302",31.761453835209778,34.994301829788924,0.0,1,7
102,buildings,3min,180,"31.728639,34.985848",31.72863914811369,34.98584811269481,0.0,1,7
103,buildings,3min,180,"31.726791,34.993800",31.726790598224216,34.993799716431674,0.0,1,7
104,buildings,3min,180,"31.735793,34.998577",31.735793051819083,34.998577051069056,0.0,1,7
105,buildings,3min,180,"31.759172,35.019733",31.759172287078982,35.01973253164501,0.0,1,7
106,buildings,3min,180,"31.759676,35.014877",31.759675898699427,35.014876597204804,0.0,1,7
107,buildings,3min,180,"31.760808,35.009239",31.76080760938614,35.00923914384087,0.0,1,7
108,buildings,3min,180,"31.714622,34.996872",31.714621865194733,34.99687239325051,0.0,1,7
109,buildings,3min,180,"31.736903,34.996074",31.736902626686184,34.996074459041665,0.0,1,7
110,buildings,3min,180,"31.754630,34.997140",31.754629656993586,34.997140013719644,0.0,1,7
111,buildings,3min,180,"31.718799,35.001741",31.718798681393643,35.00174064724772,0.0,1,7
112,buildings,3min,180,"31.714183,34.990210",31.714182916700516,34.99020965394813,0.0,1,7
113,buildings,3min,180,"31.741395,34.990669",31.741395128352924,34.99066928777309,0.0,1,7
114,buildings,3min,180,"31.716250,34.996976",31.716250244107457,34.996975738342066,0.0,1,7
115,buildings,3min,180,"31.738676,34.982618",31.738675717429622,34.9826183614451,0.0,1,7
116,buildings,3min,180,"31.734422,34.969793",31.73442208207732,34.96979269282454,0.0,1,7
117,buildings,3min,180,"31.696946,34.954560",31.696945644375944,34.954560289815625,0.0,1,7
118,buildings,3min,180,"31.718023,34.994393",31.718023341930238,34.99439277181024,0.0,1,7
119,buildings,3min,180,"31.730521,34.992989",31.73052089136239,34.99298926656647,0.0,1,7
120,buildings,3min,180,"31.750721,34.980559",31.750720977457956,34.980558634132166,0.0,1,7
121,buildings,3min,180,"31.735870,34.981881",31.735870341549052,34.98188124848196,0.0,1,7
122,buildings,3min,180,"31.732635,34.958045",31.732635076270398,34.95804511711778,0.0,1,7
