rank,candidate_source,time_bucket,time_seconds,coordinates,lat,lon,nearest_building_dist_m,newly_covered_buildings,newly_covered_people_est
1,buildings,1min,60,"31.747711,34.989535",31.74771141342427,34.989535147860025,0.0,31,217
2,buildings,1min,60,"31.752326,34.995164",31.752325705305505,34.99516351582357,0.0,24,168
3,buildings,1min,60,"31.753679,34.993262",31.75367860561212,34.993262384979516,0.0,21,147
4,buildings,1min,60,"31.738803,34.978934",31.738802510270954,34.978933999355945,0.0,20,140
5,buildings,1min,60,"31.741363,34.978691",31.741363029048006,34.9786912568486,0.0,18,126
6,buildings,1min,60,"31.748305,34.988716",31.748304811383615,34.9887159329762,0.0,17,119
7,buildings,1min,60,"31.743653,34.977381",31.743653487611383,34.97738106776822,0.0,17,119
8,buildings,1min,60,"31.739196,34.981869",31.739195894711415,34.981869398964584,0.0,17,119
9,buildings,1min,60,"31.738267,34.978342",31.73826707377488,34.9783422794366,0.0,13,91
10,buildings,1min,60,"31.741509,34.978523",31.741508954972524,34.97852322591367,0.0,13,91
11,buildings,1min,60,"31.736231,34.982716",31.736231128234277,34.982716188876424,0.0,13,91
12,buildings,1min,60,"31.742924,34.978065",31.742924432010366,34.9780648391205,0.0,13,91
13,buildings,1min,60,"31.740359,34.992099",31.74035854575412,34.99209887187603,0.0,13,91
14,buildings,1min,60,"31.752263,34.988568",31.752263255457713,34.9885683368347,0.0,12,84
15,buildings,1min,60,"31.752041,34.981909",31.752040916196208,34.98190877213388,0.0,12,84
16,buildings,1min,60,"31.753370,34.990895",31.75337021295637,34.9908951582448,0.0,12,84
17,buildings,1min,60,"31.740472,34.979950",31.740472297547843,34.979950008588105,0.0,12,84
18,buildings,1min,60,"31.751580,34.992444",31.751579661699715,34.99244422163854,0.0,11,77
19,buildings,1min,60,"31.750990,34.989012",31.75098955617061,34.98901183331998,0.0,11,77
20,buildings,1min,60,"31.743035,34.978880",31.743034556943968,34.97887951850639,0.0,11,77
21,buildings,1min,60,"31.743583,34.974990",31.743582930047648,34.97498961177864,0.0,11,77
22,buildings,1min,60,"31.749035,34.996585",31.749035274821736,34.99658463464539,0.0,11,77
23,buildings,1min,60,"31.745203,34.977485",31.74520342333011,34.977484632471295,0.0,11,77
24,buildings,1min,60,"31.747692,34.985350",31.747692308666796,34.9853500997152,0.0,10,70
25,buildings,1min,60,"31.750906,34.996178",31.750906157791,34.99617780489853,0.0,10,70
26,buildings,1min,60,"31.738876,34.975741",31.73887628451647,34.97574055866777,0.0,10,70
27,buildings,1min,60,"31.749971,34.992513",31.74997114126904,34.99251347056792,0.0,10,70
28,buildings,1min,60,"31.743262,34.975101",31.743262395938604,34.975101288182884,0.0,10,70
29,buildings,1min,60,"31.753840,34.996499",31.753839598758105,34.996499482239365,0.0,10,70
30,buildings,1min,60,"31.751520,34.989388",31.751519528622303,34.98938789329394,0.0,9,63
31,buildings,1min,60,"31.751977,34.993410",31.751977047414687,34.993410102888554,0.0,9,63
32,buildings,1min,60,"31.743003,34.976429",31.743002532923036,34.97642870676015,0.0,9,63
33,buildings,1min,60,"31.743609,34.975437",31.743608803722616,34.975437358730595,0.0,9,63
