rank,distance_metric,placement_mode,placement_semantics,candidate_source,time_bucket,time_seconds,coordinates,lat,lon,nearest_building_dist_m,newly_covered_buildings,newly_covered_people_est
1,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.742140,34.977494",31.742140295310495,34.97749382028933,8.74,19,133
2,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.738523,34.983532",31.738522841152182,34.98353218341411,16.75,24,168
3,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.753868,34.987618",31.75386788650888,34.98761846096798,14.23,18,126
4,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.744224,34.977940",31.744223693441576,34.97794029134597,12.72,29,203
5,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.738127,34.979410",31.73812671454613,34.9794100968678,21.68,21,147
6,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.717190,34.998956",31.717190036862178,34.998956353856464,9.95,14,98
7,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.742911,34.976069",31.742910905971456,34.97606850395071,11.67,34,238
8,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.736304,34.983002",31.736303699318103,34.98300178298386,11.07,21,147
9,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.752629,34.980447",31.752628867053033,34.980446528810944,16.26,15,105
10,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.709263,34.980155",31.70926307164518,34.98015507904606,20.99,10,70
11,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.754119,34.989111",31.75411893061968,34.989110548335674,9.84,22,154
12,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.748169,34.988515",31.748168514519136,34.98851516251132,14.99,23,161
13,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.738843,34.985377",31.738842667431015,34.985377423739365,3.81,27,189
14,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.739485,34.987253",31.739485120690375,34.98725295682903,12.42,19,133
15,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.739069,34.989441",31.739069233638382,34.98944070795788,16.41,18,126
16,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.749352,34.997865",31.74935203157356,34.99786455872399,15.48,20,140
17,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.709563,35.004336",31.709562885542418,35.00433625141412,15.28,8,56
18,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.748082,34.986791",31.74808182457911,34.98679061498331,11.15,23,161
