rank,distance_metric,placement_mode,placement_semantics,candidate_source,time_bucket,time_seconds,coordinates,lat,lon,nearest_building_dist_m,newly_covered_buildings,newly_covered_people_est
1,graph,cluster,area_center,cluster_candidates,5min,300,"31.715170,34.982435",31.715170048664405,34.98243482115966,19.34,7,49
2,graph,cluster,area_center,cluster_candidates,5min,300,"31.704604,34.988586",31.7046040955066,34.988586146164884,15.28,5,35
3,graph,cluster,area_center,cluster_candidates,5min,300,"31.716018,34.995290",31.71601759178787,34.99528973140591,59.59,11,77
4,graph,cluster,area_center,cluster_candidates,5min,300,"31.708480,34.998876",31.708480293180607,34.998876249575616,36.76,5,35
5,graph,cluster,area_center,cluster_candidates,5min,300,"31.742036,34.995357",31.742036100316096,34.995357414000935,43.36,8,56
6,graph,cluster,area_center,cluster_candidates,5min,300,"31.738790,34.977242",31.738790086476328,34.97724171114209,33.32,10,70
7,graph,cluster,area_center,cluster_candidates,5min,300,"31.745877,34.990255",31.745876743444096,34.99025477822035,87.64,13,91
8,graph,cluster,area_center,cluster_candidates,5min,300,"31.741262,34.982270",31.741262370739225,34.98226988648555,15.63,15,105
9,graph,cluster,area_center,cluster_candidates,5min,300,"31.711210,34.993313",31.71121022850772,34.99331304635852,5.0,11,77
10,graph,cluster,area_center,cluster_candidates,5min,300,"31.749555,34.984710",31.749554563549967,34.98470968777886,5.57,16,112
11,graph,cluster,area_center,cluster_candidates,5min,300,"31.711759,34.997179",31.711758857049176,34.99717902910983,92.76,15,105
12,graph,cluster,area_center,cluster_candidates,5min,300,"31.753295,34.985555",31.753294942852694,34.98555495259046,121.33,8,56
13,graph,cluster,area_center,cluster_candidates,5min,300,"31.748993,34.998307",31.74899327345822,34.9983069456245,110.04,27,189
14,graph,cluster,area_center,cluster_candidates,5min,300,"31.743772,34.995538",31.743772076072567,34.99553766897421,151.09,43,301
