rank,distance_metric,placement_mode,placement_semantics,candidate_source,time_bucket,time_seconds,coordinates,lat,lon,nearest_building_dist_m,newly_covered_buildings,newly_covered_people_est
1,graph,cluster,area_center,cluster_candidates,5min,300,"31.738190,34.949482",31.738189507897573,34.94948236492858,0.0,36,252
2,graph,cluster,area_center,cluster_candidates,5min,300,"31.714902,34.982817",31.714901690825936,34.98281659116435,34.73,7,49
3,graph,cluster,area_center,cluster_candidates,5min,300,"31.753628,34.997180",31.753628281224515,34.997179751180845,55.66,7,49
4,graph,cluster,area_center,cluster_candidates,5min,300,"31.759288,34.993371",31.759287895660222,34.993371238858636,30.86,25,175
5,graph,cluster,area_center,cluster_candidates,5min,300,"31.753895,34.991936",31.753894739729834,34.9919360795632,15.86,13,91
6,graph,cluster,area_center,cluster_candidates,5min,300,"31.741867,34.995868",31.74186718564812,34.995868482779514,25.78,10,70
7,graph,cluster,area_center,cluster_candidates,5min,300,"31.749318,34.991416",31.74931798987342,34.99141643011033,32.92,15,105
8,graph,cluster,area_center,cluster_candidates,5min,300,"31.755575,34.985757",31.755575283945436,34.985757148829904,7.45,5,35
9,graph,cluster,area_center,cluster_candidates,5min,300,"31.742685,34.997723",31.742685448391512,34.9977230846126,22.74,21,147
10,graph,cluster,area_center,cluster_candidates,5min,300,"31.715684,34.995161",31.715683664986102,34.9951609492571,32.72,14,98
11,graph,cluster,area_center,cluster_candidates,5min,300,"31.747919,34.999809",31.747919031072417,34.99980902199451,1.58,11,77
12,graph,cluster,area_center,cluster_candidates,5min,300,"31.741120,34.981047",31.741120363016144,34.98104705781547,23.84,5,35
13,graph,cluster,area_center,cluster_candidates,5min,300,"31.713297,34.990180",31.713297437408475,34.990180413981385,7.89,16,112
14,graph,cluster,area_center,cluster_candidates,5min,300,"31.748121,34.982139",31.748121133707162,34.98213863466184,31.42,7,49
15,graph,cluster,area_center,cluster_candidates,5min,300,"31.708083,34.998868",31.708082570855165,34.99886775044209,36.97,5,35
16,graph,cluster,area_center,cluster_candidates,5min,300,"31.713357,34.999032",31.71335654318612,34.999032164744094,54.27,6,42
17,graph,cluster,area_center,cluster_candidates,5min,300,"31.711720,34.991384",31.711720054114487,34.99138420061591,98.03,10,70
18,graph,cluster,area_center,cluster_candidates,5min,300,"31.734111,34.991025",31.734111317301593,34.99102521661479,17.2,17,119
19,graph,cluster,area_center,cluster_candidates,5min,300,"31.744544,34.989356",31.74454428550884,34.98935578512084,26.36,15,105
20,graph,cluster,area_center,cluster_candidates,5min,300,"31.717380,34.994439",31.717379660686635,34.99443855479701,71.51,22,154
