rank,distance_metric,placement_mode,placement_semantics,candidate_source,time_bucket,time_seconds,coordinates,lat,lon,nearest_building_dist_m,newly_covered_buildings,newly_covered_people_est
1,graph,exact,exact_point,network_nodes,5min,300,"31.744131,34.993322",31.74413050068316,34.99332209947559,100.63,2,14
2,graph,exact,exact_point,buildings,5min,300,"31.741291,34.982431",31.741290778760057,34.9824314207435,0.0,1,7
3,graph,exact,exact_point,buildings,5min,300,"31.751389,34.981561",31.751388772086834,34.98156131211641,0.0,1,7
4,graph,exact,exact_point,buildings,5min,300,"31.738189,34.992955",31.738189394799473,34.99295495208625,0.0,1,7
