rank,distance_metric,placement_mode,placement_semantics,candidate_source,time_bucket,time_seconds,coordinates,lat,lon,nearest_building_dist_m,newly_covered_buildings,newly_covered_people_est
1,graph,cluster,area_center,cluster_candidates,5min,300,"31.741458,34.979512",31.741457720843535,34.979512186006694,55.52,13,91
2,graph,cluster,area_center,cluster_candidates,5min,300,"31.746865,34.997018",31.74686527865875,34.9970180584749,24.54,7,49
3,graph,cluster,area_center,cluster_candidates,5min,300,"31.740005,34.979094",31.740005449637486,34.979093837460596,21.89,12,84
4,graph,cluster,area_center,cluster_candidates,5min,300,"31.740331,34.981388",31.740330567016038,34.98138832769117,39.23,12,84
