rank,distance_metric,placement_mode,placement_semantics,candidate_source,time_bucket,time_seconds,coordinates,lat,lon,nearest_building_dist_m,newly_covered_buildings,newly_covered_people_est
1,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.737378,34.983132",31.73737787103612,34.983132182895574,75.0,95,665
2,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.741722,34.996410",31.7417221077693,34.996410473252176,29.19,8,56
3,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.752082,34.990222",31.752081755490334,34.99022244808678,34.7,77,539
